"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"油氣燃料","248.22","2.12","0.86","-10.68"
"原物料","239.86","2.26","0.95","-6.45"
"金屬礦產","279.53","3.16","1.14","-16.13"
"紙類林產","101.22","0.28","0.28","0.04"
"世界工業","198.73","1.22","0.62","-0.12"
"交通運輸","234.34","1.42","0.61","12.08"
"交通設施","221.84","0.41","0.19","6.64"
"循環性消費","192.34","-0.04","-0.02","2.38"
"零售","258.79","0.24","0.09","3.20"
"經銷商","134.08","0.97","0.73","7.36"
"多元化零售","217.44","0.72","0.33","9.26"
"汽車","182.34","-0.15","-0.08","-2.64"
"消費服務","223.54","-0.88","-0.39","-0.12"
"耐久物與服裝","169.40","0.06","0.04","0.70"
"家庭耐久消費","93.67","0.07","0.07","8.89"

